FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Layout;LONGITUDE;LATITUDE
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.854;-59.59
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.846;-597.112
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.832;-59.867
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.896;-59.132
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.942;-594.858
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.927;-59.519
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.941;-596.774
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;10.795;-597.613
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.949;-5.988
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.923;-59.74
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.913;-60.048
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.904;-602.613
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.933;-6.059
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.929;-60.907
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.957;-608.323
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.948;-603.249
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.932;-602.914
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.937;-60.161
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.937;-59.947
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.888;-59.944
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;107.875;-59.793
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-PROCESS;Off;107.895;-5.958
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.893;-595.797
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM EA-WELL;Off;107.886;-59.533
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-COMPRESSOR;Off;107.906;-596.412
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.884;-59.523
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.902;-596.369
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;107.91;-595.422
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM FLOW;Off;107.919;-59.486
